BARÈME — DISSERTATION — ÉPREUVE ANTICIPÉE DE FRANÇAIS,,
,,
"Grille analytique construite à partir des attendus officiels des EAF (voie générale), portant sur l'œuvre au programme et son parcours associé. 
La notation est globale sur 20 : les sous-critères ci-dessous servent à homogénéiser la correction et ne constituent pas un barème national obligatoire.",,
,,
Critère,Barème,Descripteur de performance
A. Compréhension du sujet et problématisation,,— /5
1. Analyse des termes du sujet,— /2,
,"0–0,5",Sujet mal compris ; contresens sur les termes ou la citation.
,1,Termes principaux repérés mais analyse encore générale.
,"1,5","Termes du sujet précisément analysés, tensions identifiées."
,2,"Analyse fine du sujet : notions définies, présupposés et enjeux clairement dégagés."
2. Problématisation,— /2,
,"0–0,5",Pas de véritable problème ; reformulation ou réponse immédiate.
,1,Questionnement présent mais tension encore faible.
,"1,5",Problème construit à partir d'une difficulté réelle du sujet.
,2,Problématisation rigoureuse ; question directrice pertinente pour l'étude de l'œuvre et du parcours.
3. Délimitation et traitement du sujet,— /1,
,"0–0,25",Hors-sujet ou traitement très partiel.
,"0,5",Sujet globalement traité mais avec digressions.
,"0,75",Traitement constamment centré sur les termes du sujet.
,1,"Sujet parfaitement maîtrisé, aucune digression."
B. Argumentation et démonstration,,— /6
1. Construction du raisonnement et du plan,— /2,
,"0–0,5",Juxtaposition d'idées ; absence de progression.
,1,Raisonnement identifiable mais enchaînements insuffisants.
,"1,5","Plan cohérent et progressif, chaque partie apportant une étape du raisonnement."
,2,"Démonstration rigoureuse ; plan nécessaire, objections examinées et dépassées."
2. Pertinence et analyse des arguments,— /2,
,"0–0,5","Affirmations non justifiées, arguments plaqués."
,1,Quelques arguments pertinents mais peu développés.
,"1,5","Arguments pertinents, correctement développés et illustrés."
,2,"Arguments précis, analysés en profondeur et articulés entre eux."
3. Discussion et nuances,"— /1,5",
,"0–0,5",Thèse unique affirmée sans nuance ni discussion.
,"0,75",Nuances présentes mais peu exploitées.
,1,Objections ou contre-exemples pris en compte et discutés.
,"1,5","Véritable dialogue critique : objections sérieuses, nuances et dépassements justifiés."
"4. Exemples tirés de l'œuvre, du parcours et de la culture littéraire","— /0,5",
,0,Exemples absents ou sans lien avec l'œuvre étudiée.
,"0,25",Exemples présents mais peu analysés.
,"0,5","Exemples précis, issus de l'œuvre et du parcours, utilisés comme arguments."
C. Connaissance de l'œuvre et du parcours associé,,— /3
1. Mobilisation précise de l'œuvre au programme,"— /1,5",
,"0–0,5","Œuvre mal connue, erreurs factuelles, résumé sans analyse."
,"0,75",Œuvre convoquée mais de façon générale ou approximative.
,1,Œuvre correctement mobilisée au service du sujet.
,"1,5","Connaissance précise et fine de l'œuvre, passages cités avec justesse."
2. Références au parcours associé et à la culture littéraire,"— /1,5",
,"0–0,5",Parcours associé ignoré ou hors sujet.
,"0,75",Quelques références utiles mais peu développées.
,1,Parcours associé et autres textes/lectures pertinemment mobilisés.
,"1,5","Culture littéraire diversifiée, mobilisée avec discernement au service du sujet."
D. Maîtrise de l'exercice et composition,,— /3
1. Introduction,"— /1,5",
,"0–0,5","Introduction lacunaire, sujet mal amené, pas de problématique."
,"0,75",Introduction correcte mais problématisation ou annonce de plan insuffisantes.
,1,"Introduction structurée : amorce, présentation de l'œuvre, problématique, annonce du plan."
,"1,5","Introduction très maîtrisée, donnant une véritable nécessité au développement."
2. Développement et transitions,— /1,
,"0–0,25",Développement désordonné ou descriptif.
,"0,5",Organisation identifiable mais progression irrégulière.
,"0,75","Paragraphes structurés, transitions logiques."
,1,"Composition rigoureuse, chaque partie nécessaire à la démonstration."
3. Conclusion,"— /0,5",
,0,Absente ou ne répond pas au problème.
,"0,25",Bilan présent mais réponse vague.
,"0,5","Conclusion synthétique répondant explicitement au problème, avec ouverture pertinente."
E. Expression et présentation,,— /3
1. Clarté et correction de la langue,— /2,
,"0–0,5",Expression souvent incorrecte ou difficilement compréhensible.
,1,Expression globalement compréhensible mais maladroite.
,"1,5",Expression claire et correcte ; vocabulaire précis.
,2,"Expression très claire, fluide et rigoureuse."
2. Présentation et lisibilité,— /1,
,"0–0,25",Copie mal présentée ou désorganisée.
,"0,5",Présentation correcte mais parfois confuse.
,"0,75","Copie lisible, paragraphes clairement identifiables."
,1,"Présentation particulièrement claire, rendant visible la progression du raisonnement."
