BARÈME — COMMENTAIRE — ÉPREUVE ANTICIPÉE DE FRANÇAIS,,
,,
"Grille analytique construite à partir des attendus officiels des EAF (voie générale). La notation est globale sur 20 : 
les sous-critères ci-dessous servent à homogénéiser la correction entre correcteurs et ne constituent pas un barème national obligatoire.",,
,,
Critère,Barème,Descripteur de performance
A. Compréhension et interprétation du texte,,— /5
1. Compréhension du sens global et du projet du texte,— /2,
,"0–0,5",Contresens ou sens global du texte non compris.
,1,"Sens général saisi mais projet d'écriture (visée, enjeu) resté implicite."
,"1,5",Sens du texte et intention de l'auteur clairement identifiés.
,2,"Compréhension fine du texte : sens explicite et implicite, visée et enjeux précisément dégagés."
2. Problématique / axes de lecture,— /2,
,"0–0,5",Absence de problématique ; lecture linéaire sans fil directeur.
,1,Axes de lecture esquissés mais peu articulés à une problématique.
,"1,5",Problématique pertinente organisant la lecture en axes cohérents.
,2,"Problématique précise et féconde, qui structure véritablement l'ensemble de l'explication."
3. Prise en compte du paratexte et délimitation du texte,— /1,
,"0–0,25",Paratexte ignoré ; texte traité hors de son contexte de production.
,"0,5",Paratexte mentionné mais peu exploité.
,"0,75","Paratexte (auteur, date, genre, place dans l'œuvre) correctement pris en compte."
,1,"Texte précisément situé et éclairé par son contexte, sans généralisation excessive."
B. Analyse littéraire et argumentation,,— /6
1. Étude des procédés d'écriture et de leurs effets,— /2,
,"0–0,5",Procédés non identifiés ou simplement nommés sans analyse.
,1,Quelques procédés relevés mais effets peu ou mal expliqués.
,"1,5",Procédés identifiés et effets correctement analysés.
,2,"Analyse fine et précise des procédés d'écriture, constamment mise en relation avec le sens."
2. Précision et pertinence des citations,— /2,
,"0–0,5","Citations absentes, trop longues ou non exploitées."
,1,Citations présentes mais peu ciblées ou faiblement commentées.
,"1,5","Citations pertinentes, bien choisies et commentées."
,2,"Citations précises, brèves et intégrées, systématiquement mises au service de l'interprétation."
"3. Mise en relation forme / sens, interprétation","— /1,5",
,"0–0,5",Paraphrase du texte ; absence d'interprétation.
,"0,75",Interprétation amorcée mais peu justifiée par l'étude de la forme.
,1,Lien clairement établi entre procédés d'écriture et signification.
,"1,5","Interprétation personnelle et rigoureuse, constamment fondée sur l'analyse de la forme."
4. Progression et articulation des axes de lecture,"— /0,5",
,0,Axes juxtaposés sans logique de progression.
,"0,25",Progression identifiable mais transitions insuffisantes.
,"0,5","Progression cohérente et justifiée entre les axes, qui approfondit la lecture du texte."
C. Culture littéraire et mise en contexte,,— /3
"1. Mobilisation du contexte littéraire (auteur, mouvement, objet d'étude)","— /1,5",
,"0–0,5","Contexte absent, erroné ou plaqué."
,"0,75",Contexte mentionné mais peu relié au texte.
,1,"Contexte littéraire pertinent, correctement mis au service de l'analyse."
,"1,5","Contexte précis et maîtrisé, intégré organiquement à l'interprétation du texte."
2. Pertinence de la mise en perspective culturelle,"— /1,5",
,"0–0,5",Accumulation de connaissances sans fonction interprétative.
,"0,75",Quelques rapprochements utiles mais peu développés.
,1,"Mise en perspective pertinente (œuvre, parcours, autres textes)."
,"1,5","Mise en perspective éclairante, mobilisée avec discernement au service du sens du texte."
D. Maîtrise de l'exercice et composition,,— /3
1. Introduction,"— /1,5",
,"0–0,5","Introduction lacunaire : texte non situé, pas de problématique."
,"0,75",Introduction correcte mais problématique ou annonce du plan insuffisantes.
,1,"Introduction structurée : situation du texte, problématique, annonce des axes."
,"1,5","Introduction très maîtrisée, qui donne une véritable nécessité à la lecture proposée."
2. Développement et transitions,— /1,
,"0–0,25","Développement désordonné, proche du relevé ou de la paraphrase."
,"0,5",Organisation identifiable mais progression irrégulière.
,"0,75","Paragraphes structurés, transitions logiques entre les axes."
,1,"Composition rigoureuse, chaque axe faisant progresser la lecture du texte."
3. Conclusion,"— /0,5",
,0,Absente ou sans lien avec la problématique.
,"0,25",Bilan présent mais réponse partielle.
,"0,5","Conclusion synthétique répondant explicitement à la problématique, avec ouverture pertinente."
"E. Expression, langue et présentation",,— /3
1. Clarté et correction de la langue,— /2,
,"0–0,5","Expression souvent incorrecte, syntaxe fautive, vocabulaire pauvre."
,1,Expression globalement compréhensible mais maladroite ou approximative.
,"1,5",Expression claire et correcte ; vocabulaire de l'analyse littéraire maîtrisé.
,2,"Expression précise, fluide et rigoureuse ; registre soutenu adapté à l'exercice."
2. Présentation et lisibilité,— /1,
,"0–0,25","Copie mal présentée, citations non signalées, alinéas absents."
,"0,5",Présentation correcte mais parfois confuse.
,"0,75","Copie lisible, alinéas et citations correctement mis en forme."
,1,"Présentation soignée, rendant immédiatement visible la progression de la lecture."
